,encoding-dim,num-epochs,batch-size,lr,Accuracy
70,11,20,128,1e-05,0.6588775510204081
71,11,30,128,1e-05,0.6577551020408163
72,12,10,16,0.001,0.6709183673469388
73,12,20,16,0.001,0.6703061224489796
74,12,30,16,0.001,0.6744897959183673
75,12,10,16,0.0001,0.6713265306122449
76,12,20,16,0.0001,0.6705102040816326
77,12,30,16,0.0001,0.671530612244898
78,12,10,16,1e-05,0.6702040816326531
79,12,20,16,1e-05,0.6712244897959184
80,12,30,16,1e-05,0.6714285714285714
81,12,10,32,0.001,0.6676530612244898
82,12,20,32,0.001,0.7330612244897959
83,12,30,32,0.001,0.7565306122448979
84,12,10,32,0.0001,0.6701020408163265
85,12,20,32,0.0001,0.6712244897959184
86,12,30,32,0.0001,0.6719387755102041
87,12,10,32,1e-05,0.6309183673469387
88,12,20,32,1e-05,0.6587755102040816
89,12,30,32,1e-05,0.6670408163265306
90,12,10,64,0.001,0.6653061224489796
91,12,20,64,0.001,0.6683673469387755
92,12,30,64,0.001,0.6639795918367347
93,12,10,64,0.0001,0.673469387755102
94,12,20,64,0.0001,0.6772448979591836
95,12,30,64,0.0001,0.6719387755102041
96,12,10,64,1e-05,0.6566326530612245
97,12,20,64,1e-05,0.6566326530612245
98,12,30,64,1e-05,0.6664285714285715
99,12,10,128,0.001,0.6671428571428571
100,12,20,128,0.001,0.6695918367346939
101,12,30,128,0.001,0.6702040816326531
102,12,10,128,0.0001,0.669795918367347
103,12,20,128,0.0001,0.6725510204081633
104,12,30,128,0.0001,0.6710204081632654
105,12,10,128,1e-05,0.6626530612244897
106,12,20,128,1e-05,0.6562244897959184
107,12,30,128,1e-05,0.6503061224489796
108,13,10,16,0.001,0.671530612244898
109,13,20,16,0.001,0.671734693877551
110,13,30,16,0.001,0.7287755102040816
111,13,10,16,0.0001,0.6819387755102041
112,13,20,16,0.0001,0.6727551020408163
113,13,30,16,0.0001,0.6716326530612244
114,13,10,16,1e-05,0.6711224489795918
115,13,20,16,1e-05,0.6735714285714286
116,13,30,16,1e-05,0.673469387755102
117,13,10,32,0.001,0.6681632653061225
118,13,20,32,0.001,0.6711224489795918
119,13,30,32,0.001,0.6672448979591836
120,13,10,32,0.0001,0.6728571428571428
121,13,20,32,0.0001,0.6713265306122449
122,13,30,32,0.0001,0.6718367346938775
123,13,10,32,1e-05,0.6626530612244897
